,Name,Symbol,NSE symbol,URL
INGERRAND,Ingersoll Rand,IRI01,INGERRAND,/india/stockpricequote/compressors/ingersollrandindia/IRI01
INOXLEISUR,INOX Leisure,INO01,INOXLEISUR,/india/stockpricequote/mediaentertainment/inoxleisure/INO01
INTELLECT,Intellect Desig,IDA,INTELLECT,/india/stockpricequote/computerssoftware/intellectdesignarena/IDA
IOB,IOB,IOB,IOB,/india/stockpricequote/bankspublicsector/indianoverseasbank/IOB
IOC,IOC,IOC,IOC,/india/stockpricequote/refineries/indianoilcorporation/IOC
IPCALAB,Ipca Labs,IL,IPCALAB,/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL
IRB,IRB Infra,IID01,IRB,/india/stockpricequote/infrastructuregeneral/irbinfrastructuredevelopers/IID01
IRCTC,IRCTC,IRC,IRCTC,/india/stockpricequote/miscellaneous/irctcindianrailwaycateringtourismcorp/IRC
ITC,ITC,ITC,ITC,/india/stockpricequote/cigarettes/itc/ITC
ITI,ITI,ITI,ITI,/india/stockpricequote/telecommunicationsequipment/iti/ITI
IIFLWAM,IWML,IIFLW54277,IIFLWAM,/india/stockpricequote/miscellaneous/iiflwealthmanagementlimited/IIFLW54277
JKCEMENT,J. K. Cement,JKC03,JKCEMENT,/india/stockpricequote/cementmajor/jkcement/JKC03
JAMNAAUTO,Jamna Auto,JAI,JAMNAAUTO,/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
JSLHISAR,Jindal (Hisar),JSH,JSLHISAR,/india/stockpricequote/steellarge/jindalstainlesshisar/JSH
JINDALSTEL,Jindal Steel,JSP,JINDALSTEL,/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP
JUBLFOOD,Jubilant Food,JF04,JUBLFOOD,/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
JDORGOCHEM,Just Dial,JD,JDORGOCHEM,/india/stockpricequote/miscellaneous/justdial/JD
JYOTHYLAB,Jyothy Labs,JL,JYOTHYLAB,/india/stockpricequote/personalcare/jyothylabs/JL
KAJARIACER,Kajaria Ceramic,KC06,KAJARIACER,/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06
KALPATPOWR,Kalpataru Power,KPT,KALPATPOWR,/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT
KARURVYSYA,Karur Vysya,KVB,KARURVYSYA,/india/stockpricequote/banksprivatesector/karurvysyabank/KVB
KSCL,Kaveri Seed,KSC01,KSCL,/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01
KEI,KEI Industries,KEI,KEI,/india/stockpricequote/cablespowerothers/keiindustries/KEI
KNRCON,KNR Construct,KC13,KNRCON,/india/stockpricequote/constructioncontractingcivil/knrconstructions/KC13
KPITTECH,KPIT Tech,KPITT54265,KPITTECH,/india/stockpricequote/itservicesconsulting/kpittechnologies/KPITT54265
KSB,KSB Pumps,KSB,KSB,/india/stockpricequote/pumps/ksb/KSB
L&TFH,L&T Finance,LFH,L&TFH,/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH
LATTEYS,L&T Infotech,LI12,LATTEYS,/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12
LTTS,L&T Technology,LTS,LTTS,/india/stockpricequote/computerssoftware/lttechnologyservices/LTS
LAXMIMACH,Lakshmi Machine,LMW,LAXMIMACH,/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW
LT,Larsen,LT,LT,/india/stockpricequote/infrastructuregeneral/larsentoubro/LT
LOVABLE,Laurus Labs,LL05,LOVABLE,/india/stockpricequote/pharmaceuticals/lauruslabs/LL05
LEMONTREE,Lemon Tree Hote,LTH,LEMONTREE,/india/stockpricequote/hotels/lemontreehotelsltd/LTH
LICHSGFIN,LIC Housing Fin,LIC,LICHSGFIN,/india/stockpricequote/financehousing/lichousingfinance/LIC
LINDEINDIA,Linde India,BOC,LINDEINDIA,/india/stockpricequote/chemicals/lindeindia/BOC
TRENT,Lupin,L,TRENT,/india/stockpricequote/pharmaceuticals/lupin/L
LUXIND,Lux Industries,LHI,LUXIND,/india/stockpricequote/textilesprocessing/luxindustries/LHI
M&M,M&M,MM,M&M,/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
MAHSCOOTER,Mah Scooters,MS01,MAHSCOOTER,/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01
MAHSEAMLES,Mah Seamless,MS02,MAHSEAMLES,/india/stockpricequote/steeltubespipes/maharashtraseamless/MS02
MGL,Mahanagar Gas,MG02,MGL,/india/stockpricequote/refineries/mahanagargas/MG02
MUTHOOTFIN,Mahindra CIE,MF19,MUTHOOTFIN,/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19
MHRIL,Mahindra Holida,MHR,MHRIL,/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR
SPICEJET,Mahindra Logist,ML04,SPICEJET,/india/stockpricequote/diversified/mahindralogistics/ML04
MANAPPURAM,Manappuram Fin,MGF01,MANAPPURAM,/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01
MATRIMONY,Marico,M13,MATRIMONY,/india/stockpricequote/personalcare/marico/M13
MANAKSTEEL,Maruti Suzuki,MS24,MANAKSTEEL,/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24
MASFIN,MAS Financial S,MFS09,MASFIN,/india/stockpricequote/financegeneral/masfinancialservices/MFS09
MFSL,Max Financial,MI,MFSL,/india/stockpricequote/financeinvestments/maxfinancialservices/MI
MCX,MCX India,MCE,MCX,/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE
BLUECOAST,Metropolis,MH06,BLUECOAST,/india/stockpricequote/hospitalsmedicalservices/metropolishealthcare/MH06
MINDPOOL,Mindtree,MT13,MINDPOOL,/india/stockpricequote/computerssoftware/mindtree/MT13
MIDHANI,Mishra Dhatu Ni,MDN,MIDHANI,/india/stockpricequote/miscellaneous/mishradhatunigamltd/MDN
MMTC,MMTC Ltd,MMT,MMTC,/india/stockpricequote/trading/mmtc/MMT
MOTILALOFS,Motilal Oswal,MOF01,MOTILALOFS,/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01
MRF,MRF,MRF,MRF,/india/stockpricequote/tyres/mrf/MRF
MRPL,MRPL,MRP,MRPL,/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP
NATIONALUM,NALCO,NAC,NATIONALUM,/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC
NH,Narayana Hruda,NH,NH,/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH
PEL,Natco Pharma,NP07,PEL,/india/stockpricequote/pharmaceuticals/natcopharma/NP07
NCC,NCC,NCC01,NCC,/india/stockpricequote/constructioncontractingcivil/ncc/NCC01
NESTLEIND,Nestle,NI,NESTLEIND,/india/stockpricequote/foodprocessing/nestleindia/NI
NIACL,New India Assur,NIA,NIACL,/india/stockpricequote/miscellaneous/newindiaassurancecompany/NIA
NFL,NFL,NF06,NFL,/india/stockpricequote/fertilisers/nationalfertilizers/NF06
NHPC,NHPC,N07,NHPC,/india/stockpricequote/powergenerationdistribution/nhpc/N07
NILKAMAL,Nilkamal,NP08,NILKAMAL,/india/stockpricequote/plastics/nilkamal/NP08
NAM-INDIA,Nippon,RNL,NAM-INDIA,/india/stockpricequote/miscellaneous/nipponlifeindiaassetmanagement/RNL
NLCINDIA,NLC India,NLC,NLCINDIA,/india/stockpricequote/powergenerationdistribution/nlcindia/NLC
NTPC,NTPC,NTP,NTPC,/india/stockpricequote/powergenerationdistribution/ntpc/NTP
OBEROIRLTY,Oberoi Realty,OR,OBEROIRLTY,/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR
OIL,Oil India,OI13,OIL,/india/stockpricequote/oildrillingandexploration/oilindia/OI13
ONGC,ONGC,ONG,ONGC,/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG
PAGEIND,Page Industries,PI35,PAGEIND,/india/stockpricequote/textilesreadymadeapparels/pageindustries/PI35
PCBL,PCBL,PCB01,PCBL,/india/stockpricequote/carbonblack/pcbl/PCB01
PERSISTENT,Persistent,PS15,PERSISTENT,/india/stockpricequote/computerssoftware/persistentsystems/PS15
PETRONET,Petronet LNG,PLN,PETRONET,/india/stockpricequote/oildrillingandexploration/petronetlng/PLN
PFIZER,Pfizer,P,PFIZER,/india/stockpricequote/pharmaceuticals/pfizer/P
PHOENIXLTD,Phoenix Mills,PM02,PHOENIXLTD,/india/stockpricequote/constructioncontractingrealestate/phoenixmills/PM02
PIIND,PI Industries,PII,PIIND,/india/stockpricequote/pesticidesagrochemicals/piindustries/PII
PIDILITIND,Pidilite Ind,PI11,PIDILITIND,/india/stockpricequote/chemicals/pidiliteindustries/PI11
PNEUMATIC,Piramal Enter,PH05,PNEUMATIC,/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05
PNB,PNB,PNB05,PNB,/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05
PNBHOUSING,PNB Housing Fin,PHF,PNBHOUSING,/india/stockpricequote/financehousing/pnbhousingfinance/PHF
POLYMED,Poly Medicure,PM06,POLYMED,/india/stockpricequote/hospitalsmedicalservices/polymedicure/PM06
POLYPLEX,Polyplex Corp,PC08,POLYPLEX,/india/stockpricequote/packaging/polyplexcorporation/PC08
PFC,Power Finance,PFC02,PFC,/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02
POWERGRID,Power Grid Corp,PGC,POWERGRID,/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC
PRESTIGE,Prestige Estate,PEP02,PRESTIGE,/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02
PRSMJOHNSN,Prism Johnson,PC,PRSMJOHNSN,/india/stockpricequote/cementmajor/prismjohnson/PC
AURUM,Procter&Gamble,M12,AURUM,/india/stockpricequote/pharmaceuticals/proctergamblehealth/M12
PVR,PVR,PVR,PVR,/india/stockpricequote/mediaentertainment/pvr/PVR
QUESS,Quess Corp,QC,QUESS,/india/stockpricequote/engineering/quesscorp/QC
RADICO,Radico Khaitan,RK01,RADICO,/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01
RVNL,Rail Vikas,RVN,RVNL,/india/stockpricequote/miscellaneous/railvikasnigam/RVN
RUPA,Rain Industries,RC12,RUPA,/india/stockpricequote/cementmajor/rainindustries/RC12
RAJESHEXPO,Rajesh Exports,RE07,RAJESHEXPO,/india/stockpricequote/diamondcuttingjewellerypreciousmetals/rajeshexports/RE07
RALLIS,Rallis India,RI03,RALLIS,/india/stockpricequote/pesticidesagrochemicals/rallisindia/RI03
RAMCOCEM,Ramco Cements,MC,RAMCOCEM,/india/stockpricequote/cementmajor/theramcocements/MC
RCF,Rashtriya Chem,RCF01,RCF,/india/stockpricequote/fertilisers/rashtriyachemicalsfertilisers/RCF01
RATNAMANI,Ratnamani Metal,RMT,RATNAMANI,/india/stockpricequote/steeltubespipes/ratnamanimetalstubes/RMT
RAYMOND,Raymond,R,RAYMOND,/india/stockpricequote/textileswoollenworsted/raymond/R
RECLTD,REC,REC02,RECLTD,/india/stockpricequote/financetermlendinginstitutions/rec/REC02
REDINGTON,Redington,RI37,REDINGTON,/india/stockpricequote/computershardware/redingtonindia/RI37
RELAXO,Relaxo Footwear,RF07,RELAXO,/india/stockpricequote/leatherproducts/relaxofootwears/RF07
RELIANCE,Reliance,RI,RELIANCE,/india/stockpricequote/refineries/relianceindustries/RI
RESPONIND,Responsive Ind,SH10,RESPONIND,/india/stockpricequote/constructioncontractingcivil/responsiveindustries/SH10
RHIM,RHI Magnesita,OR01,RHIM,/india/stockpricequote/cementproductsbuildingmaterials/rhimagnesitaindia/OR01
SAIL,SAIL,SAI,SAIL,/india/stockpricequote/steellarge/steelauthorityindia/SAI
ADANIPOWER,Sanofi India,AP26,ADANIPOWER,/india/stockpricequote/pharmaceuticals/sanofiindia/AP26
SBIN,SBI,SBI,SBIN,/india/stockpricequote/bankspublicsector/statebankindia/SBI
SBILIFE,SBI Life Insura,SLI03,SBILIFE,/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03
SCHNEIDER,Schneider Infra,SEI04,SCHNEIDER,/india/stockpricequote/powergenerationdistribution/schneiderelectricinfrastructure/SEI04
SOTL,Sharda Crop,SC04,SOTL,/india/stockpricequote/pesticidesagrochemicals/shardacropchem/SC04
SCI,Shipping Corp,SCI,SCI,/india/stockpricequote/shipping/shippingcorporationindia/SCI
SHOPERSTOP,Shoppers Stop,SS51,SHOPERSTOP,/india/stockpricequote/retail/shoppersstop/SS51
SHREECEM,Shree Cements,SC12,SHREECEM,/india/stockpricequote/cementmajor/shreecements/SC12
SHRIRAMCIT,Shriram City,SCU,SHRIRAMCIT,/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU
SRTRANSFIN,Shriram Trans,STF,SRTRANSFIN,/india/stockpricequote/financeleasinghirepurchase/shriramtransportfinancecorporation/STF
SIEMENS,Siemens,S,SIEMENS,/india/stockpricequote/infrastructuregeneral/siemens/S
SHAREINDIA,SIS,SIS08,SHAREINDIA,/india/stockpricequote/miscellaneous/sis/SIS08
OFSS,SJVN,S11,OFSS,/india/stockpricequote/powergenerationdistribution/sjvn/S11
SOBHA,Sobha,SD6,SOBHA,/india/stockpricequote/constructioncontractingrealestate/sobha/SD6
SONATSOFTW,Sonata,SS42,SONATSOFTW,/india/stockpricequote/computerssoftwaremediumsmall/sonatasoftware/SS42
SRF,SRF,SRF,SRF,/india/stockpricequote/diversified/srf/SRF
STARCEMENT,Star Cement,SFC02,STARCEMENT,/india/stockpricequote/cementmajor/starcement/SFC02
STAR,Strides Pharma ,SA10,STAR,/india/stockpricequote/pharmaceuticals/stridespharmascience/SA10
SUMICHEM,SUMITOMO,SUMIC54292,SUMICHEM,/india/stockpricequote/pesticidesagrochemicals/sumitomochemicalindialimite/SUMIC54292
SUNPHARMA,Sun Pharma,SPI,SUNPHARMA,/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
SPARC,Sun Pharma Adv,SPA,SPARC,/india/stockpricequote/pharmaceuticals/sunpharmaadvancedresearchcompany/SPA
SUNDARMFIN,Sundaram Fin,SF20,SUNDARMFIN,/india/stockpricequote/financeleasinghirepurchase/sundaramfinance/SF20
SUNCLAYLTD,Sundaram-Clayto,SC,SUNCLAYLTD,/india/stockpricequote/autoancillaries/sundaramclayton/SC
SUPRAJIT,Suprajit Eng,SE15,SUPRAJIT,/india/stockpricequote/autoancillaries/suprajitengineering/SE15
SUPREMEIND,Supreme Ind,SI48,SUPREMEIND,/india/stockpricequote/plastics/supremeindustries/SI48
SUPPETRO,Supreme Petro,SP,SUPPETRO,/india/stockpricequote/petrochemicals/supremepetrochem/SP
SUZLON,Suzlon Energy,SE17,SUZLON,/india/stockpricequote/powergenerationdistribution/suzlonenergy/SE17
SWANENERGY,Swan Energy,SM09,SWANENERGY,/india/stockpricequote/trading/swanenergy/SM09
SYMPHONY,Symphony,SCS04,SYMPHONY,/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04
UPL,Syngene Intl,SI10,UPL,/india/stockpricequote/miscellaneous/syngeneinternational/SI10
TANLA,Tanla Platforms,TS11,TANLA,/india/stockpricequote/computerssoftwaremediumsmall/tanlaplatforms/TS11
TASTYBITE,Tasty Bite,TBE,TASTYBITE,/india/stockpricequote/foodprocessing/tastybiteeatables/TBE
TATACHEM,Tata Chemicals,TC,TATACHEM,/india/stockpricequote/chemicals/tatachemicals/TC
TATACONSUM,TATA Cons. Prod,TT,TATACONSUM,/india/stockpricequote/plantationsteacoffee/tataconsumerproducts/TT
TATAINVEST,Tata Inv Corp,TIC,TATAINVEST,/india/stockpricequote/financeinvestments/tatainvestmentcorporation/TIC
TATAPOWER,Tata Power,TPC,TATAPOWER,/india/stockpricequote/powergenerationdistribution/tatapowercompany/TPC
TATASTEEL,Tata Steel,TIS,TATASTEEL,/india/stockpricequote/ironsteel/tatasteel/TIS
TCNSBRANDS,TCNS Clothing C,TCC,TCNSBRANDS,/india/stockpricequote/textilesgeneral/tcnsclothingco/TCC
TCS,TCS,TCS,TCS,/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS
TECHM,Tech Mahindra,TM4,TECHM,/india/stockpricequote/computerssoftware/techmahindra/TM4
THERMAX,Thermax,T,THERMAX,/india/stockpricequote/infrastructuregeneral/thermax/T
TITAN,Titan Company,TI01,TITAN,/india/stockpricequote/miscellaneous/titancompany/TI01
TATAMTRDVR,TML-D,TATAM57000,TATAMTRDVR,/india/stockpricequote/automobilelcvshvcs/tatamotorsdvr/TATAM57000
TORNTPHARM,Torrent Pharma,TP06,TORNTPHARM,/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06
TRIDENT,Trident,AI01,TRIDENT,/india/stockpricequote/textilesspinningcottonblended/trident/AI01
THYROCARE,Triveni Turbine,TT14,THYROCARE,/india/stockpricequote/electricequipment/triveniturbine/TT14
TTKPRESTIG,TTK Prestige,TTK02,TTKPRESTIG,/india/stockpricequote/domesticappliances/ttkprestige/TTK02
TVSMOTOR,TVS Motor,TVS,TVSMOTOR,/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS
UCOBANK,UCO Bank,UCO,UCOBANK,/india/stockpricequote/bankspublicsector/ucobank/UCO
UJJIVAN,Ujjivan Financi,UFS01,UJJIVAN,/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01
UNIONBANK,Union Bank,UBI01,UNIONBANK,/india/stockpricequote/bankspublicsector/unionbankindia/UBI01
VAKRANGEE,V-Guard Ind,VI02,VAKRANGEE,/india/stockpricequote/electricequipment/vguardindustries/VI02
VMART,V-Mart Retail,VR03,VMART,/india/stockpricequote/retail/vmartretail/VR03
VAIBHAVGBL,Vaibhav Global,VG02,VAIBHAVGBL,/india/stockpricequote/retail/vaibhavglobal/VG02
VALIANTORG,Valiant Organic,VO03,VALIANTORG,/india/stockpricequote/chemicals/valiantorganics/VO03
VARROC,Varroc Engineer,VE08,VARROC,/india/stockpricequote/engineeringheavy/varrocengineering/VE08
VBL,Varun Beverages,VB05,VBL,/india/stockpricequote/foodprocessing/varunbeverages/VB05
VEDL,Vedanta,SG,VEDL,/india/stockpricequote/miningminerals/vedanta/SG
VINATIORGA,Vinati Organics,VO01,VINATIORGA,/india/stockpricequote/chemicals/vinatiorganics/VO01
VIPIND,VIP Industries,VIP,VIPIND,/india/stockpricequote/householdpersonalproducts/vipindustries/VIP
IDEA,Vodafone Idea,IC8,IDEA,/india/stockpricequote/telecommunicationsservice/vodafoneidealimited/IC8
VOLTAS,Voltas,V,VOLTAS,/india/stockpricequote/diversified/voltas/V
VSTIND,VST,VST,VSTIND,/india/stockpricequote/cigarettes/vstindustries/VST
WABCOINDIA,WABCO India,WAB,WABCOINDIA,/india/stockpricequote/autoancillaries/wabcoindia/WAB
WELCORP,Welspun Corp,WGS,WELCORP,/india/stockpricequote/steeltubespipes/welspuncorp/WGS
WELSPUNIND,Welspun India,WI03,WELSPUNIND,/india/stockpricequote/textilesweaving/welspunindia/WI03
WESTLIFE,Westlife Dev,DIC,WESTLIFE,/india/stockpricequote/hotels/westlifedevelopment/DIC
WHIRLPOOL,Whirlpool,WI,WHIRLPOOL,/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI
WIPRO,Wipro,W,WIPRO,/india/stockpricequote/computerssoftware/wipro/W
WOCKPHARMA,Wockhardt,W05,WOCKPHARMA,/india/stockpricequote/pharmaceuticals/wockhardt/W05
YESBANK,Yes Bank,YB,YESBANK,/india/stockpricequote/banksprivatesector/yesbank/YB
